iter	Passed	Remaining
0	9	9609
1	17	8777
2	25	8518
3	33	8299
4	41	8300
5	50	8316
6	58	8326
7	66	8297
8	76	8405
9	84	8371
10	92	8328
11	101	8336
12	109	8335
13	117	8299
14	126	8282
15	135	8307
16	144	8377
17	153	8372
18	162	8364
19	171	8412
20	180	8399
21	188	8358
22	196	8358
23	206	8389
24	215	8418
25	224	8410
26	233	8416
27	242	8400
28	250	8395
29	259	8388
30	268	8402
31	277	8402
32	286	8401
33	295	8392
34	305	8428
35	318	8517
36	326	8508
37	334	8480
38	343	8476
39	352	8450
40	360	8428
41	368	8411
42	377	8398
43	386	8393
44	395	8389
45	403	8369
46	412	8360
47	420	8344
48	429	8332
49	437	8318
50	446	8315
51	455	8309
52	464	8304
53	473	8288
54	482	8283
55	490	8269
56	501	8289
57	509	8274
58	518	8270
59	527	8263
60	535	8246
61	544	8243
62	553	8239
63	562	8223
64	570	8209
65	579	8201
66	588	8197
67	597	8187
68	606	8186
69	615	8176
70	623	8163
71	633	8163
72	642	8165
73	651	8152
74	659	8133
75	668	8125
76	677	8119
77	686	8110
78	700	8168
79	709	8160
80	717	8142
81	725	8124
82	734	8111
83	742	8096
84	750	8078
85	759	8067
86	768	8068
87	777	8062
88	787	8064
89	797	8065
90	808	8072
91	817	8072
92	826	8065
93	835	8055
94	844	8048
95	854	8049
96	864	8049
97	874	8050
98	885	8061
99	898	8084
100	908	8082
101	918	8083
102	928	8082
103	939	8096
104	948	8084
105	957	8077
106	966	8067
107	976	8068
108	989	8084
109	1001	8100
110	1014	8121
111	1023	8114
112	1032	8108
113	1041	8094
114	1049	8079
115	1058	8066
116	1067	8054
117	1076	8043
118	1085	8033
119	1093	8019
120	1101	8004
121	1109	7986
122	1114	7944
123	1122	7930
124	1131	7922
125	1141	7919
126	1151	7912
127	1159	7901
128	1168	7886
129	1176	7870
130	1184	7856
131	1193	7845
132	1201	7832
133	1211	7826
134	1219	7814
135	1228	7804
136	1237	7793
137	1246	7783
138	1257	7786
139	1268	7792
140	1279	7792
141	1290	7797
142	1301	7798
143	1311	7795
144	1321	7793
145	1332	7792
146	1343	7795
147	1353	7793
148	1364	7795
149	1376	7798
150	1386	7796
151	1399	7806
152	1410	7809
153	1425	7829
154	1436	7830
155	1450	7844
156	1459	7839
157	1469	7832
158	1479	7823
159	1483	7788
160	1494	7790
161	1503	7779
162	1512	7766
163	1520	7751
164	1528	7735
165	1537	7724
166	1546	7712
167	1555	7701
168	1563	7688
169	1572	7676
170	1580	7663
171	1589	7650
172	1598	7642
173	1607	7628
174	1616	7619
175	1624	7607
176	1638	7620
177	1652	7630
178	1688	7743
179	1708	7784
180	1726	7813
181	1741	7827
182	1759	7855
183	1772	7858
184	1786	7868
185	1802	7886
186	1815	7893
187	1827	7894
188	1842	7905
189	1854	7907
190	1870	7921
191	1895	7975
192	1912	7998
193	1928	8011
194	1942	8020
195	1954	8019
196	1973	8044
197	1996	8088
198	2018	8124
